Code Insee;Code Postal;Ville;Nom Ville long;;;;;Cedex
47001;47910;AGEN;AGEN CEDEX 9;47;E;01.01.0001;28.05.200328.05.2003;C
47001;47911;AGEN;AGEN CEDEX 9;47;E;01.01.0001;28.05.200328.05.2003;C
47001;47912;AGEN;AGEN CEDEX 9;47;E;01.01.0001;28.05.200328.05.2003;C
47001;47913;AGEN;AGEN CEDEX 9;47;E;01.01.0001;28.05.200328.05.2003;C
47001;47914;AGEN;AGEN CEDEX 9;47;E;01.01.0001;28.05.200328.05.2003;C
47001;47915;AGEN;AGEN CEDEX 9;47;E;01.01.0001;28.05.200328.05.2003;C
47001;47916;AGEN;AGEN CEDEX 9;47;E;01.01.0001;28.05.200328.05.2003;C
47001;47917;AGEN;AGEN CEDEX 9;47;E;01.01.0001;28.05.200328.05.2003;C
47001;47918;AGEN;AGEN CEDEX 9;47;E;01.01.0001;28.05.200328.05.2003;C
47001;47919;AGEN;AGEN CEDEX 9;47;E;01.01.0001;28.05.200328.05.2003;C
47001;47920;AGEN;AGEN CEDEX 9;47;E;01.01.0001;28.05.200328.05.2003;C
47001;47921;AGEN;AGEN CEDEX 9;47;E;01.01.0001;28.05.200328.05.2003;C
47001;47922;AGEN;AGEN CEDEX 9;47;E;01.01.0001;28.05.200328.05.2003;C
47001;47923;AGEN;AGEN CEDEX 9;47;E;01.01.0001;28.05.200328.05.2003;C
47001;47924;AGEN;AGEN CEDEX 9;47;E;01.01.0001;28.05.200328.05.2003;C
47001;47925;AGEN;AGEN CEDEX 9;47;E;01.01.0001;28.05.200328.05.2003;C
47001;47926;AGEN;AGEN CEDEX 9;47;E;01.01.0001;28.05.200328.05.2003;C
47001;47927;AGEN;AGEN CEDEX 9;47;E;01.01.0001;28.05.200328.05.2003;C
47001;47928;AGEN;AGEN CEDEX 9;47;E;01.01.0001;28.05.200328.05.2003;C
47001;47929;AGEN;AGEN CEDEX 9;47;E;01.01.0001;28.05.200328.05.2003;C
47001;47931;AGEN;AGEN CEDEX 9;47;E;01.01.0001;28.05.200328.05.2003;C
12001;12630;AGEN D AVEYRON;AGEN D AVEYRON;12;E;01.01.0001;25.10.199325.10.1993;
21001;21700;AGENCOURT;AGENCOURT;21;E;01.01.0001;25.10.199325.10.1993;
80005;80370;AGENVILLE;AGENVILLE;80;E;01.01.0001;25.10.199325.10.1993;
80006;80150;AGENVILLERS;AGENVILLERS;80;E;01.01.0001;25.10.199325.10.1993;
52001;52340;AGEVILLE;AGEVILLE;52;E;01.01.0001;25.10.199325.10.1993;
21002;21410;AGEY;AGEY;21;E;01.01.0001;25.10.199325.10.1993;
2B002;20270;AGHIONE;AGHIONE;2B;E;01.01.0001;25.10.199325.10.1993;
54006;54770;AGINCOURT;AGINCOURT;54;E;01.01.0001;25.10.199325.10.1993;
47002;47350;AGME;AGME;47;E;01.01.0001;25.10.199325.10.1993;
47003;47800;AGNAC;AGNAC;47;E;01.01.0001;25.10.199325.10.1993;
43001;43100;AGNAT;AGNAT;43;E;01.01.0001;25.10.199325.10.1993;
50002;50180;AGNEAUX;AGNEAUX;50;E;01.01.0001;25.10.199325.10.1993;
60007;60600;AGNETZ;AGNETZ;60;E;01.01.0001;25.10.199325.10.1993;
62011;62161;AGNEZ LES DUISANS;AGNEZ LES DUISANS;62;E;01.01.0001;25.10.199325.10.1993;
02004;02340;AGNICOURT ET SECHELLES;AGNICOURT ET SECHELLES;02;E;01.01.0001;25.10.199325.10.1993;
62012;62690;AGNIERES;AGNIERES;62;E;01.01.0001;25.10.199325.10.1993;
80007;80290;AGNIERES;HESCAMPS;80;E;01.01.0001;25.10.199325.10.1993;
05002;05250;AGNIERES EN DEVOLUY;AGNIERES EN DEVOLUY;05;E;01.01.0001;25.10.199325.10.1993;
38003;38150;AGNIN;AGNIN;38;E;01.01.0001;25.10.199325.10.1993;
64007;64400;AGNOS;AGNOS;64;E;01.01.0001;25.10.199325.10.1993;
62013;62217;AGNY;AGNY;62;E;01.01.0001;25.10.199325.10.1993;
50003;50230;AGON COUTAINVILLE;AGON COUTAINVILLE;50;E;01.01.0001;25.10.199325.10.1993;
24002;24460;AGONAC;AGONAC;24;E;01.01.0001;25.10.199325.10.1993;
34005;34190;AGONES;AGONES;34;E;01.01.0001;25.10.199325.10.1993;
03002;03210;AGONGES;AGONGES;03;E;01.01.0001;25.10.199325.10.1993;
17001;17350;AGONNAY;ST SAVINIEN;17;E;01.01.0001;25.10.199325.10.1993;
65004;65400;AGOS VIDALOS;AGOS VIDALOS;65;E;01.01.0001;25.10.199325.10.1993;
16003;16110;AGRIS;AGRIS;16;E;01.01.0001;25.10.199325.10.1993;
17002;17500;AGUDELLE;AGUDELLE;17;E;01.01.0001;25.10.199325.10.1993;
12002;12520;AGUESSAC;AGUESSAC;12;E;01.01.0001;25.10.199325.10.1993;
02005;02190;AGUILCOURT;AGUILCOURT;02;E;01.01.0001;25.10.199325.10.1993;
