NAF rév. 2, 2008 - Niveau 4 - Liste des classes;;Statut des activités par classe NAF;REMARQUES;Potentiel marché;NOMBRE ;;;;REPARTITION ;;;
Code;Libellé;;;;0 salarié;< à 6 salariés;< à 10 salariés;< 20 salariés;0 salarié;< à 6 salariés;< à 10 salariés;< 20 salariés
46.42;Commerce de gros d'habillement et de chaussures;M;;8330;4504;7279;7759;8046;0,540696279;0,873829532;0,931452581;0,965906363
46.43;Commerce de gros d'appareils électroménagers;A;;1593;780;1185;1286;1396;0,489642185;0,743879473;0,807281858;0,876333961
46.44;Commerce de gros de vaisselle, verrerie et produits d'entretien;M;;1197;542;885;995;1070;0,452798663;0,739348371;0,831244779;0,89390142
46.45;Commerce de gros de parfumerie et de produits de beauté;A;;2145;1166;1768;1893;2004;0,543589744;0,824242424;0,882517483;0,934265734
46.46;Commerce de gros de produits pharmaceutiques;M;;2978;1211;2146;2376;2589;0,406648758;0,720617864;0,797850907;0,86937542
46.47;Commerce de gros de meubles, de tapis et d'appareils d'éclairage;A;;561;295;451;487;521;0,525846702;0,803921569;0,868092692;0,928698752
46.48;Commerce de gros d'articles d'horlogerie et de bijouterie;R;;291;118;200;221;247;0,405498282;0,687285223;0,759450172;0,848797251
46.49;Commerce de gros d'autres biens domestiques;R;;17294;10142;15096;16055;16751;0,586446166;0,872903897;0,928356655;0,968601827
46.51;Commerce de gros d'ordinateurs, d'équipements informatiques périphériques et de logiciels;A;;5922;3214;4923;5305;5657;0,542722053;0,831306991;0,895812226;0,955251604
46.52;Commerce de gros de composants et d'équipements électroniques et de télécommunication;R;;3408;1471;2567;2866;3145;0,431631455;0,7532277;0,840962441;0,922828638
46.61;Commerce de gros de matériel agricole;R;;3475;781;1848;2417;2961;0,224748201;0,531798561;0,695539568;0,852086331
46.62;Commerce de gros de machines-outils;R;;926;313;676;768;857;0,338012959;0,730021598;0,82937365;0,925485961
46.63;Commerce de gros de machines pour l'extraction, la construction et le génie civil;R;;1444;563;1019;1142;1285;0,389889197;0,70567867;0,790858726;0,889889197
46.64;Commerce de gros de machines pour l'industrie textile et l'habillement;R;;115;34;89;102;112;0,295652174;0,773913043;0,886956522;0,973913043
46.65;Commerce de gros de mobilier de bureau;A;;463;115;306;382;427;0,24838013;0,660907127;0,825053996;0,92224622
46.66;Commerce de gros d'autres machines et équipements de bureau;R;;1325;372;851;1024;1173;0,280754717;0,642264151;0,772830189;0,885283019
46.69;Commerce de gros d'autres machines et équipements;R;;16245;6003;11633;13335;14818;0,37;0,716;0,821;0,912
46.71;Commerce de gros de combustibles et de produits annexes;R;;821;334;576;644;714;0,40682095;0,701583435;0,784409257;0,869671133
46.72;Commerce de gros de minerais et métaux;R;;1157;438;751;870;975;0,378565255;0,649092481;0,751944685;0,842696629
46.73;Commerce de gros de bois, de matériaux de construction et d'appareils sanitaires;M;1 activité acceptée : vente et réparation de produits d'emballages (palettes, caisses en bois);10002;3847;7077;8208;9130;0,385;0,708;0,8206;0,913
46.74;Commerce de gros de quincaillerie et fournitures pour plomberie et chauffage;A;;2698;886;1719;2011;2301;0,328;0,637;0,745;0,853
46.75;Commerce de gros de produits chimiques;R;;2121;767;1447;1698;1900;0,361621876;0,682225365;0,800565771;0,895803866
46.76;Commerce de gros d'autres produits intermédiaires;R;;1624;663;1220;1378;1501;0,408251232;0,751231527;0,848522167;0,924261084
46.77;Commerce de gros de déchets et débris;R;;491;200;357;406;466;0,407331976;0,727087576;0,82688391;0,949083503
46.90;Commerce de gros non spécialisé;R;;13863;9866;13055;13475;13744;0,711678569;0,941715357;0,97201183;0,991415999
47.11;Commerce de détail en magasin non spécialisé à prédominance alimentaire;A;;29681;14827;22717;24359;25960;0,5;0,7653;0,8206;0,875
47.19;Autre commerce de détail en magasin non spécialisé;A;;3310;1994;2897;3105;3225;0,6025;0,875;0,938;0,974
47.21;Commerce de détail de fruits et légumes en magasin spécialisé;A;;5343;3053;4892;5175;5300;0,571401834;0,915590492;0,96855699;0,991952087
47.22;Commerce de détail de viandes et de produits à base de viande en magasin spécialisé;A;;15425;6167;14001;14892;15290;0,399805511;0,907682334;0,965445705;0,991247974
47.23;Commerce de détail de poissons, crustacés et mollusques en magasin spécialisé;A;;2328;1130;2128;2248;2316;0,485395189;0,914089347;0,965635739;0,994845361
47.24;Commerce de détail de pain, pâtisserie et confiserie en magasin spécialisé;A;;3662;2019;3421;3556;3628;0,551338067;0,934188968;0,971054069;0,990715456
47.25;Commerce de détail de boissons en magasin spécialisé;A;;5229;3562;5071;5175;5214;0,681200994;0,969783897;0,989672978;0,997131383
47.26;Commerce de détail de produits à base de tabac en magasin spécialisé;A;;5242;2846;5197;5237;5240;0,542922549;0,99141549;0,999046166;0,999618466
47.29;Autres commerces de détail alimentaires en magasin spécialisé;A;;8541;5233;7990;8294;8453;0,612691722;0,935487648;0,97108067;0,989696757
47.30;Commerce de détail de carburants en magasin spécialisé;R;;4347;1277;3570;4013;4260;0,293765816;0,821256039;0,923165401;0,979986197
47.41;Commerce de détail d'ordinateurs, d'unités périphériques et de logiciels en magasin spécialisé;A;;3820;2201;3555;3718;3797;0,57617801;0,930628272;0,973298429;0,993979058
47.42;Commerce de détail de matériels de télécommunication en magasin spécialisé;A;;1698;808;1511;1594;1650;0,475853946;0,889870436;0,938751472;0,971731449
47.43;Commerce de détail de matériels audio/vidéo en magasin spécialisé;A;;1582;629;1371;1485;1550;0,397597977;0,866624526;0,938685209;0,97977244
47.51;Commerce de détail de textiles en magasin spécialisé;A;;4717;2992;4468;4605;4667;0,634301463;0,947212211;0,976256095;0,989400042
47.52;Commerce de détail de quincaillerie, peintures et verres en magasin spécialisé;A;;9760;3948;7617;8429;9230;0,4045;0,7804;0,864;0,946
47.53;Commerce de détail de tapis, moquettes et revêtements de murs et de sols en magasin spécialisé;A;;859;347;719;789;833;0,403958091;0,83701979;0,918509895;0,969732247
47.54;Commerce de détail d'appareils électroménagers en magasin spécialisé;A;;5442;2545;4749;5136;5349;0,467658949;0,872657111;0,943770673;0,982910695
47.59;Commerce de détail de meubles, appareils d'éclairage et autres articles de ménage en magasin spécialisé;A;;19232;9020;16494;18053;18846;0,469;0,858;0,939;0,98
47.61;Commerce de détail de livres en magasin spécialisé;A;;3345;1666;2981;3139;3250;0,498056801;0,891180867;0,938415546;0,971599402
47.62;Commerce de détail de journaux et papeterie en magasin spécialisé;M;"Car rajout de l'activité ""livraison de journaux"" qui n'apparaissait pas en tant que tel dans le fichier mais qui est clairement identifiée comme étant refusée dans l'UGP en UEA";12336;7141;11894;12175;12292;0,578874838;0,964169909;0,986948768;0,996433204
47.63;Commerce de détail d'enregistrements musicaux et vidéo en magasin spécialisé;A;;553;347;514;528;545;0,627486438;0,929475588;0,954792043;0,985533454
